Gene,converted_alias,Gene-id,description,GO_Name,GO_Domain
CGW64_MGP01,GO:0005739,CGW64_mgp01,,mitochondrion,cellular_component
CGW64_MGP02,GO:0005739,CGW64_mgp02,Cytochrome b [Source:UniProtKB/TrEMBL;Acc:A0A343DCU0],mitochondrion,cellular_component
CGW64_MGP03,GO:0005739,CGW64_mgp03,NADH-ubiquinone oxidoreductase chain 6 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU7],mitochondrion,cellular_component
CGW64_MGP04,GO:0005739,CGW64_mgp04,NADH-ubiquinone oxidoreductase chain 4L [Source:UniProtKB/TrEMBL;Acc:A0A343DCU6],mitochondrion,cellular_component
CGW64_MGP05,GO:0005739,CGW64_mgp05,NADH-ubiquinone oxidoreductase chain 4 [Source:UniProtKB/TrEMBL;Acc:A0A343DCT9],mitochondrion,cellular_component
CGW64_MGP06,GO:0005739,CGW64_mgp06,NADH-ubiquinone oxidoreductase chain 5 [Source:UniProtKB/TrEMBL;Acc:A0A343DCT7],mitochondrion,cellular_component
CGW64_MGP07,GO:0005739,CGW64_mgp07,NADH-ubiquinone oxidoreductase chain 3 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU5],mitochondrion,cellular_component
CGW64_MGP08,GO:0004129,CGW64_mgp08,Cytochrome c oxidase subunit 3 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU2],cytochrome-c oxidase activity,molecular_function
CGW64_MGP09,GO:0005739,CGW64_mgp09,ATP synthase subunit a [Source:UniProtKB/TrEMBL;Acc:A0A343DCU4],mitochondrion,cellular_component
CGW64_MGP10,GO:0000276,CGW64_mgp10,ATP synthase protein 8 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU9],,
CGW64_MGP11,GO:0004129,CGW64_mgp11,Cytochrome c oxidase subunit 2 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU3],cytochrome-c oxidase activity,molecular_function
CGW64_MGP12,GO:0004129,CGW64_mgp12,Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A343DCT8],cytochrome-c oxidase activity,molecular_function
CGW64_MGP13,GO:0005739,CGW64_mgp13,,mitochondrion,cellular_component
XM_038046466.1,GO:0023052,LOC119660668,"serine-rich adhesin for platelets, transcript variant X2",signaling,biological_process
XM_038046467.1,GO:0000981,LOC119661795,"homeobox protein aristaless, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046468.1,GO:0000981,LOC119661795,"homeobox protein aristaless, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046469.1,GO:0000981,LOC119661795,"homeobox protein aristaless, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046470.1,GO:0004806,LOC119646123,"pancreatic triacylglycerol lipase-like, transcript variant X2",triacylglycerol lipase activity,molecular_function
XM_038046471.1,GO:0004806,LOC119646123,"pancreatic triacylglycerol lipase-like, transcript variant X2",triacylglycerol lipase activity,molecular_function
XM_038046472.1,nan,,,,
XM_038046473.1,GO:0005515,LOC119646124,"E3 ubiquitin-protein ligase TRIM9, transcript variant X3",protein binding,molecular_function
XM_038046474.1,GO:0005515,LOC119646124,"E3 ubiquitin-protein ligase TRIM9, transcript variant X3",protein binding,molecular_function
XM_038046475.1,GO:0005515,LOC119646124,"E3 ubiquitin-protein ligase TRIM9, transcript variant X3",protein binding,molecular_function
XM_038046476.1,GO:0005634,LOC119646126,uncharacterized protein CG4449,nucleus,cellular_component
XM_038046477.1,GO:0005509,LOC119646127,calmodulin-like protein 4,calcium ion binding,molecular_function
XM_038046478.1,nan,,,,
XM_038046479.1,GO:0003676,LOC119646129,uncharacterized LOC119646129,nucleic acid binding,molecular_function
XM_038046480.1,GO:0000981,LOC119646131,myb-like protein Q,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046481.1,GO:0003677,LOC119646132,DNA repair protein complementing XP-C cells homolog,DNA binding,molecular_function
XM_038046482.1,GO:0000166,LOC119646133,mitochondrial potassium channel ATP-binding subunit,nucleotide binding,molecular_function
XM_038046483.1,nan,,,,
XM_038046484.1,GO:0004252,LOC119646134,"uncharacterized LOC119646134, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038046485.1,GO:0004252,LOC119646134,"uncharacterized LOC119646134, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038046486.1,GO:0004252,LOC119646134,"uncharacterized LOC119646134, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038046487.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046488.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046489.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046490.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046491.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
