Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
IR70,IR,3.2978381964444443,9.656101267666669,3.1632515102222225,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR70,False
IR71,IR,0.5695225142222222,0.6090525293333333,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR71,False
IR69,IR,0.1303408835555555,0.5113728723333333,0.8296703624444445,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR69,False
IR72,IR,0.2754206995555555,0.0,0.66373629,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR72,False
IR80,IR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR80,False
IR43,IR,0.1099390821111111,1.2002110277777778,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR43,False
IR73,IR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR73,False
IR79,IR,0.0,0.103724046,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR79,False
IR45,IR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR45,False
IR44,IR,0.0,0.1183518067777777,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR44,False
IR78,IR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR78,False
IR81,IR,0.4002658513333333,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR81,False
IR94,IR,0.1099390821111111,0.3613239122222222,0.3789638961111111,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR94,False
IR82,IR,0.5003323142222222,0.0,0.2296470902222222,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR82,False
IR85,IR,0.0,0.074957202,0.6633671841111112,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR85,False
IR86,IR,0.2606817672222222,1.5107786464444444,0.5684523365555556,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR86,False
IR87,IR,1.1730679522222225,0.0,0.1216320562222222,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR87,False
IR89,IR,0.1303408835555555,0.0730579257777777,3.740387743333333,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR89,False
IR88,IR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR88,False
IR83,IR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR83,False
IR84,IR,0.3327186566666666,2.043349064111111,2.4606071532222225,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR84,False
IR92,IR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR92,False
IR91,IR,0.0,0.0907823731111111,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR91,False
IR68,IR,0.0,0.0730579257777777,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR68,False
