Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
OBP54,OBP,16.52130384033333,0.7443555605555555,0.1148235451111111,Expressed,False,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OBP54,False
OBP70,OBP,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP70,False
OBP55,OBP,0.7858819101111111,0.4096322621111111,0.2665165368888889,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP55,False
OBP59,OBP,0.8370085363333334,2.5706142843333333,1.5124465574444446,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP59,False
OBP73,OBP,0.9123861851111112,0.6386773406666667,0.5892453656666667,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP73,False
OBP72,OBP,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP72,False
OBP58,OBP,933.6302909444444,187.90313672222223,21.871438451777777,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OBP58,False
OBP51,OBP,2164.8209422777777,94.14678781444444,1.558448785666667,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Not expressed,OBP51,False
OBP75,OBP,6.444372704111111,103.73954960222224,2.077572811555556,Expressed,False,True,False,False,True,False,Not expressed,Palp-specific,Not expressed,OBP75,False
OBP76,OBP,0.0,1.0347684543333333,0.3789638961111111,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP76,False
OBP74,OBP,2.134569560111111,7.833554935666666,1.5326958573333334,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP74,False
OBP6,OBP,6161.125236888889,5798.714523222222,9195.067324888889,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OBP6,False
OBP5,OBP,30937.656787777774,59773.20270444445,3363.346869,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OBP5,False
OBP7,OBP,68.60968213111111,103.20400378222222,584.8392574888888,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,OBP7,False
OBP32,OBP,0.0,0.0,0.233903535,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP32,False
OBP34,OBP,11.644629560666669,64.59467550111111,22.63165979011111,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OBP34,False
OBP62,OBP,9.61676313611111,228.48882938666665,28.055764341333333,Expressed,False,False,False,False,False,False,Not expressed,Expressed,Expressed,OBP62,False
OBP19,OBP,5178.512156222222,7716.4100624444445,54.80499905222222,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OBP19,False
OBP3,OBP,213837.93252222225,236700.7654,5195.472955222223,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OBP3,False
OBP44,OBP,6.294385503888889,0.9135869671111112,15.570411385666668,Expressed,False,False,False,False,False,True,Not expressed,Not expressed,Tarsi-specific,OBP44,False
OBP41,OBP,0.2326521937777778,0.7778970923333333,0.2482379044444444,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP41,False
OBP21,OBP,229.60651936666667,55.87468241444444,766.6284654888889,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,OBP21,False
