Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
OR182,OR,76.49480707111111,3.45734127,91.72364315888888,Expressed,False,False,False,False,False,False,Expressed,Not expressed,Expressed,OR182,False
OR188,OR,76.49480707111111,3.45734127,91.72364315888888,Expressed,False,False,False,False,False,False,Expressed,Not expressed,Expressed,OR188,False
OR184,OR,212.30315423333332,10.839920549444445,324.52144507888886,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR184,False
OR183,OR,212.30315423333332,10.839920549444445,324.52144507888886,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR183,False
OR173,OR,163.67649639555555,10.031847838444444,287.4083962333333,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR173,False
OR140,OR,250.7669800222222,16.55822623622222,149.09062833,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR140,False
OR144,OR,1788.9939227777777,1069.4988009777778,1976.710222888889,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR144,False
OR143,OR,295.0823353777778,27.602680612222223,176.02814356333332,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR143,False
OR135,OR,77.05790852444444,8.187227848333334,192.28920965111112,Expressed,False,False,True,False,False,False,Expressed,Not expressed,Tarsi-biased,OR135,False
OR138,OR,77.05790852444444,8.187227848333334,192.28920965111112,Expressed,False,False,True,False,False,False,Expressed,Not expressed,Tarsi-biased,OR135,True
OR139,OR,77.05790852444444,8.187227848333334,192.28920965111112,Expressed,False,False,True,False,False,False,Expressed,Not expressed,Tarsi-biased,OR135,True
OR82,OR,0.0,37129.63778,1.974431284,Expressed,False,True,False,False,True,False,Not expressed,Palp-specific,Not expressed,OR82,False
OR187,OR,5.697536774444445,2.883208991777778,90.09914697555556,Expressed,False,False,True,False,False,True,Not expressed,Not expressed,Tarsi-specific,OR187,False
OR195,OR,57.51329889111111,18.93213077733333,158.09459031111112,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,OR195,False
OR186,OR,0.0,0.3925409231111111,3.5726761783333334,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR186,False
OR111,OR,157.64009493444445,0.6386433842222222,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR111,False
OR119,OR,111.05270319666668,0.2240491906666666,0.1263212986666666,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR119,False
