Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
CGW64_mgp01,106527.7265,-1.263239159,0.256138714,-4.931855627,8.14521111130364e-07,2.11753104844757e-06,nan
CGW64_mgp02,220078.4336,-0.156276946,0.158240012,-0.987594379,0.32335134,0.397438887,nan
CGW64_mgp03,50282.63296,-0.657067382,0.237373169,-2.768077722,0.005638801,0.009407946,nan
CGW64_mgp04,9203.671019,-1.187058058,0.387941325,-3.059890711,0.002214178,0.003906177,nan
CGW64_mgp05,148296.4869,-0.343929058,0.177091531,-1.942097714,0.052125272,0.075010133,nan
CGW64_mgp06,124314.8482,-0.864572338,0.22018924,-3.926496769,8.61920496927376e-05,0.00017998,nan
CGW64_mgp07,18445.69995,-0.847773879,0.263719882,-3.214675641,0.00130592,0.002368412,nan
CGW64_mgp08,143720.7406,-0.024589477,0.135021074,-0.182115842,0.855491816,0.901605824,nan
CGW64_mgp09,140769.9261,-0.308967081,0.201682625,-1.531946946,0.125535527,0.169178228,nan
CGW64_mgp10,18710.24416,-0.918768629,0.32565864,-2.821262866,0.004783499,0.008062975,nan
CGW64_mgp11,178986.025,-0.115117378,0.125835669,-0.91482311,0.360284501,0.437240716,nan
CGW64_mgp12,449914.7376,-0.103505563,0.129335687,-0.800286176,0.423545011,0.502727202,nan
CGW64_mgp13,87711.90865,-0.433158822,0.211240633,-2.05054688,0.040311094,0.059260753,nan
XM_038046466.1,1557.802156,0.11560307,0.091728349,1.260276367,0.207569682,0.266948178,nan
XM_038046467.1,167.0984126,-0.582117145,0.268332405,-2.169388167,0.030053227,0.045163387,nan
XM_038046468.1,167.0984126,-0.582117145,0.268332405,-2.169388167,0.030053227,0.045163387,nan
XM_038046469.1,167.0984126,-0.582117145,0.268332405,-2.169388167,0.030053227,0.045163387,nan
XM_038046470.1,573.333418,-0.990836489,0.333583059,-2.970284196,0.002975244,0.005154183,nan
XM_038046471.1,568.6409805,-0.986993681,0.334505589,-2.950604458,0.003171528,0.005469946,nan
XM_038046472.1,3.326118568,-0.647325626,1.098571325,-0.589243148,0.555698176,0.632980704,nan
XM_038046473.1,632.4034751,-0.987802499,0.212120945,-4.656789074,3.2117919831952e-06,7.84792724206926e-06,nan
XM_038046474.1,632.4034751,-0.987802499,0.212120945,-4.656789074,3.2117919831952e-06,7.84792724206926e-06,nan
XM_038046475.1,632.4034751,-0.987802499,0.212120945,-4.656789074,3.2117919831952e-06,7.84792724206926e-06,nan
XM_038046476.1,190.3053595,0.412443887,0.164387141,2.508979012,0.012108068,0.019254544,nan
XM_038046477.1,388.1078074,-0.087032331,0.137321424,-0.633785525,0.526220801,0.605687062,nan
XM_038046478.1,16201.1289,-4.154036946,0.353058273,-11.76586775,5.85215116647973e-32,1.01437286885649e-30,nan
XM_038046479.1,0.776019281,0.641455201,1.395187216,0.459762814,0.645686477,0.718546041,nan
XM_038046480.1,427.6073505,-1.797505771,0.31743633,-5.662571041,1.4912160720348e-08,4.61009935995072e-08,nan
XM_038046481.1,277.3308374,0.649212066,0.140952349,4.605897455,4.10690748830746e-06,9.92566538099737e-06,nan
XM_038046482.1,864.0599177,-0.107289328,0.119629998,-0.896843021,0.369802688,0.447445243,nan
XM_038046483.1,376.7282753,0.309306215,0.210264312,1.471035255,0.141281583,0.188682294,nan
XM_038046484.1,1957.804308,-1.827381978,0.299173862,-6.108093696,1.00828159180186e-09,3.47286010810232e-09,nan
XM_038046485.1,1957.804308,-1.827381978,0.299173862,-6.108093696,1.00828159180186e-09,3.47286010810232e-09,nan
XM_038046486.1,1957.804308,-1.827381978,0.299173862,-6.108093696,1.00828159180186e-09,3.47286010810232e-09,nan
XM_038046487.1,367.9967347,-2.239269033,0.231738081,-9.662930772,4.33287365197562e-22,4.41106623940365e-21,nan
XM_038046488.1,321.8449222,-2.251947336,0.246816057,-9.123990386,7.24079914933146e-20,6.27093999566748e-19,nan
XM_038046489.1,339.6552512,-2.323460414,0.242399873,-9.585237735,9.22449584798067e-22,9.23425721924837e-21,nan
XM_038046490.1,339.6552512,-2.323460414,0.242399873,-9.585237735,9.22449584798067e-22,9.23425721924837e-21,nan
XM_038046491.1,342.8333808,-2.268052709,0.245803485,-9.227097463,2.78064565814685e-20,2.48881952721179e-19,nan
XM_038046492.1,342.8333808,-2.268052709,0.245803485,-9.227097463,2.78064565814685e-20,2.48881952721179e-19,nan
XM_038046493.1,411.5716736,-0.252859754,0.118878838,-2.127037561,0.033416962,0.049789412,nan
XM_038046494.1,264.952375,0.414512354,0.177238547,2.338725749,0.019349632,0.029960563,nan
XM_038046495.1,11.3073448,1.246992022,0.662272135,1.882899727,0.059713958,0.085020233,nan
XM_038046496.1,1578.297021,-0.70864761,0.14119231,-5.019024111,5.19346318684112e-07,1.37812515420805e-06,nan
XM_038046497.1,0.147840809,-1.282106317,3.662339012,-0.350078546,0.726279751,0.790810576,nan
XM_038046498.1,8791.022455,-0.706433934,0.426225126,-1.657419733,0.097434645,0.134077572,nan
XM_038046499.1,1776.497759,-0.183614078,0.176932911,-1.037761015,0.299381331,0.371372968,nan
