Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
CGW64_mgp01,106527.7265,-0.797008165,0.256139865,-3.111613116,0.001860682,0.004763942,nan
CGW64_mgp02,220078.4336,0.338075209,0.158241189,2.136455191,0.03264233,0.060618173,nan
CGW64_mgp03,50282.63296,-0.216588406,0.237375898,-0.91242796,0.361543476,0.462984014,nan
CGW64_mgp04,9203.671019,-1.841734533,0.387929489,-4.747601271,2.05843330049962e-06,9.72531576547003e-06,nan
CGW64_mgp05,148296.4869,-0.501888969,0.177091091,-2.83407238,0.004595892,0.010776166,nan
CGW64_mgp06,124314.8482,-0.491296002,0.220190203,-2.23123461,0.025665593,0.049104632,nan
CGW64_mgp07,18445.69995,-0.671837782,0.263722386,-2.547518973,0.010849195,0.023031039,nan
CGW64_mgp08,143720.7406,0.68241932,0.135024327,5.054047177,4.32544688348844e-07,2.30631969371749e-06,nan
CGW64_mgp09,140769.9261,-0.088860562,0.20168322,-0.440594721,0.659506426,0.737875676,nan
CGW64_mgp10,18710.24416,-1.606628294,0.325651127,-4.933587389,8.07328959184722e-07,4.10558641708866e-06,nan
CGW64_mgp11,178986.025,0.381547473,0.125837517,3.032064548,0.002428873,0.006051576,nan
CGW64_mgp12,449914.7376,0.710668618,0.12933694,5.494707219,3.91359147516921e-08,2.44646032934824e-07,nan
CGW64_mgp13,87711.90865,-0.221429138,0.211241488,-1.048227504,0.294533802,0.391200457,nan
XM_038046466.1,1557.802156,0.221335401,0.091790059,2.411322135,0.015894803,0.032049887,nan
XM_038046467.1,167.0984126,0.666663675,0.27078715,2.461947231,0.0138185,0.028327145,nan
XM_038046468.1,167.0984126,0.666663675,0.27078715,2.461947231,0.0138185,0.028327145,nan
XM_038046469.1,167.0984126,0.666663675,0.27078715,2.461947231,0.0138185,0.028327145,nan
XM_038046470.1,573.333418,0.51370099,0.33426793,1.536794122,0.124343733,0.192479182,nan
XM_038046471.1,568.6409805,0.540068429,0.335209356,1.611137695,0.107149714,0.169924439,nan
XM_038046472.1,3.326118568,1.206857363,1.15008033,1.049367885,0.294008833,0.390634868,nan
XM_038046473.1,632.4034751,0.739214588,0.213314029,3.465381964,0.000529479,0.001547109,nan
XM_038046474.1,632.4034751,0.739214588,0.213314029,3.465381964,0.000529479,0.001547109,nan
XM_038046475.1,632.4034751,0.739214588,0.213314029,3.465381964,0.000529479,0.001547109,nan
