Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
CGW64_mgp01,106527.7265,0.466230995,0.256135657,1.820250254,0.068720903,0.096174073,nan
CGW64_mgp02,220078.4336,0.494352156,0.158240863,3.12404866,0.00178381,0.003121635,nan
CGW64_mgp03,50282.63296,0.440478976,0.237371503,1.855652305,0.063503133,0.089344644,nan
CGW64_mgp04,9203.671019,-0.654676476,0.387888091,-1.687797305,0.091450145,0.125470395,nan
CGW64_mgp05,148296.4869,-0.157959911,0.177089951,-0.891975576,0.372406024,0.447229069,nan
CGW64_mgp06,124314.8482,0.373276336,0.220187536,1.695265513,0.090025064,0.12363241,nan
CGW64_mgp07,18445.69995,0.175936097,0.263706968,0.667165144,0.504666653,0.582896502,nan
CGW64_mgp08,143720.7406,0.707008797,0.13502424,5.236162,1.63950062413791e-07,4.21546700306252e-07,nan
CGW64_mgp09,140769.9261,0.220106519,0.201682366,1.091352328,0.275117881,0.342829419,nan
CGW64_mgp10,18710.24416,-0.687859665,0.325633509,-2.112373714,0.034654408,0.050618197,nan
CGW64_mgp11,178986.025,0.496664851,0.125837145,3.9468859,7.91742643649258e-05,0.000160873,nan
CGW64_mgp12,449914.7376,0.81417418,0.129336819,6.294991533,3.07416640328674e-10,9.47877608815855e-10,nan
CGW64_mgp13,87711.90865,0.211729684,0.211239604,1.002320019,0.316189057,0.387608953,nan
XM_038046466.1,1557.802156,0.105732331,0.091852292,1.151112599,0.249685916,0.313874823,nan
XM_038046467.1,167.0984126,1.24878082,0.269902967,4.626776925,3.71400166884158e-06,8.56134817683481e-06,nan
XM_038046468.1,167.0984126,1.24878082,0.269902967,4.626776925,3.71400166884158e-06,8.56134817683481e-06,nan
XM_038046469.1,167.0984126,1.24878082,0.269902967,4.626776925,3.71400166884158e-06,8.56134817683481e-06,nan
XM_038046470.1,573.333418,1.504537479,0.333900033,4.505951867,6.60760654552028e-06,1.49197365825408e-05,nan
XM_038046471.1,568.6409805,1.52706211,0.334842263,4.56054172,5.1021823834082e-06,1.16413059278579e-05,nan
XM_038046472.1,3.326118568,1.854182989,1.139123404,1.627727937,0.103582587,0.140882399,nan
XM_038046473.1,632.4034751,1.727017086,0.212807048,8.115413008,4.84135419239332e-16,2.20147804984481e-15,nan
XM_038046474.1,632.4034751,1.727017086,0.212807048,8.115413008,4.84135419239332e-16,2.20147804984481e-15,nan
XM_038046475.1,632.4034751,1.727017086,0.212807048,8.115413008,4.84135419239332e-16,2.20147804984481e-15,nan
XM_038046476.1,190.3053595,-1.160399747,0.162671729,-7.133382991,9.79315636442625e-13,3.611798983829e-12,nan
XM_038046477.1,388.1078074,-0.36349336,0.136656021,-2.659914716,0.007816044,0.012630144,nan
XM_038046478.1,16201.1289,3.918112473,0.35303804,11.09827279,1.27891508678795e-28,1.17155290408329e-27,nan
XM_038046479.1,0.776019281,-2.538627051,1.273885766,-1.992821585,0.046280987,0.066446791,nan
XM_038046480.1,427.6073505,3.266717834,0.319851031,10.21324779,1.72976022211992e-24,1.2784009141605e-23,nan
XM_038046481.1,277.3308374,-1.197228224,0.139985056,-8.55254309,1.20405749859284e-17,6.02911201860535e-17,nan
