Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CGW64_mgp01,18470.36778,93982.68514,129671.095,46326.8643,54197.00937,75335.86594,nan,69535.30096,-0.452666607,0.627325907,-0.721581242,0.470551976,0.892524374
CGW64_mgp02,205813.6988,307475.1871,273451.4416,232865.2174,235949.9412,270477.5168,nan,253447.4814,-0.075007248,0.166172681,-0.451381345,0.651714726,0.944194891
CGW64_mgp03,22698.67617,71924.31536,62691.81048,37741.71125,44905.40455,52139.15938,nan,48551.80911,-0.211598953,0.428190846,-0.494169727,0.621186318,0.939842756
CGW64_mgp04,342.2273029,7778.613592,7777.605136,1791.022667,2475.175331,6298.849769,nan,4403.40149,-0.581557344,1.172729929,-0.495900488,0.619964622,0.939707238
CGW64_mgp05,54072.81446,167461.3155,187922.573,97284.571,109774.7074,149635.7759,nan,127399.5057,-0.188334553,0.461082165,-0.408462022,0.682934507,0.950790912
CGW64_mgp06,27914.04014,133279.2885,148085.1721,71940.56299,83090.82864,115097.9735,nan,96385.28287,-0.185700947,0.542716759,-0.342169177,0.73222358,0.959512869
CGW64_mgp07,4421.036395,18579.05023,21714.99422,10152.58602,10292.78755,17581.56795,nan,13764.58793,-0.22371639,0.686328251,-0.325961214,0.7444537,0.961136226
CGW64_mgp08,136681.0818,204119.689,204769.2309,185682.0276,186700.1374,182200.6115,nan,182782.754,0.037806493,0.169494394,0.223054532,0.823493065,0.972654733
CGW64_mgp09,73116.86327,221468.191,164169.1901,129741.9586,134549.5246,154824.4608,nan,145907.7432,-0.11799017,0.282566858,-0.417565494,0.67626483,0.950444298
CGW64_mgp10,1628.281483,24995.73193,14743.82089,8914.774988,9994.005267,7886.91981,nan,11332.32946,-0.616994708,0.949151848,-0.650048472,0.515660912,0.917614943
CGW64_mgp11,171867.4521,225291.2194,212341.0968,218525.5108,196784.3015,206470.8732,nan,204522.1775,0.044159708,0.141974843,0.311038962,0.755771002,0.961136226
