Gene,Ant_VF1,Ant_VF2,Ant_VF3,Ant_Vm1,Ant_Vm2,Ant_Vm3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CGW64_mgp01,46326.8643,54197.00937,75335.86594,77919.17479,44191.82605,20973.43893,nan,52598.7855,-0.286721216,0.381638614,-0.751289847,0.452478238,0.748053735
CGW64_mgp02,232865.2174,235949.9412,270477.5168,80477.88361,264907.5523,178229.937,nan,208429.5438,-0.482874116,0.343581996,-1.405411581,0.159898925,0.464602877
CGW64_mgp03,37741.71125,44905.40455,52139.15938,9072.737601,42150.89433,20597.21413,nan,34073.32481,-0.894123714,0.413898664,-2.160247889,0.030753485,0.169583958
CGW64_mgp04,1791.022667,2475.175331,6298.849769,7171.503873,2242.332371,421.0655467,nan,3363.201404,-0.09455199,1.096919117,-0.086197778,0.931309197,0.982587817
CGW64_mgp05,97284.571,109774.7074,149635.7759,151889.3112,105441.3179,65427.02389,nan,112107.5544,-0.13243076,0.296308254,-0.446935777,0.654921431,0.867122844
CGW64_mgp06,71940.56299,83090.82864,115097.9735,107788.2267,72596.85677,36137.267,nan,80264.08483,-0.307869224,0.342345408,-0.899294153,0.368496001,0.69112048
CGW64_mgp07,10152.58602,10292.78755,17581.56795,15616.08055,10893.94425,4374.706978,nan,11364.63194,-0.289109702,0.391327843,-0.738791547,0.460033586,0.752633826
CGW64_mgp08,185682.0276,186700.1374,182200.6115,108941.9489,151246.5031,112608.2387,nan,152990.3196,-0.559185934,0.176593823,-3.166509032,0.001542806,0.017440608
CGW64_mgp09,129741.9586,134549.5246,154824.4608,76149.85485,133706.3374,65763.87633,nan,114586.7843,-0.591579571,0.265153147,-2.23108637,0.025675408,0.150421012
CGW64_mgp10,8914.774988,9994.005267,7886.91981,5450.342944,9684.463343,1995.960059,nan,7241.532283,-0.634011642,0.421260961,-1.505032987,0.132315596,0.414804015
CGW64_mgp11,218525.5108,196784.3015,206470.8732,153409.4607,170211.5515,144098.4732,nan,179770.4552,-0.39688548,0.141168848,-2.811423941,0.004932275,0.04395113
CGW64_mgp12,526768.1185,528794.3192,609706.0982,265320.5169,592124.3732,402599.9085,nan,482802.9185,-0.38796534,0.270902914,-1.432119476,0.152109631,0.451054399
CGW64_mgp13,76329.37529,83893.87155,91778.57493,34984.37568,83351.86689,32478.91828,nan,66425.33675,-0.727722984,0.328885311,-2.212695307,0.026918659,0.155981127
