Gene,Leg_MF1,Leg_MF2,Leg_MF3,Leg_VF1,Leg_VF2,Leg_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CGW64_mgp01,99728.62248,152056.0402,103601.7212,226612.5123,169526.7461,178977.6414,nan,152837.6981,0.670990252,0.261676862,2.564194052,0.010341571,0.062163777
CGW64_mgp02,266993.6015,273441.2859,251240.175,292982.4907,219556.2002,214627.2519,nan,249591.4539,-0.140970862,0.186419682,-0.756201599,0.449528334,0.583241906
CGW64_mgp03,66006.01856,64913.83734,52879.22433,90872.30139,53852.10635,55601.69418,nan,63036.79312,0.106045625,0.271872116,0.390057013,0.696494389,0.786411703
CGW64_mgp04,12766.80841,9284.246586,5234.660958,5973.62661,7915.692585,8590.753173,nan,8159.714513,-0.287154082,0.355784096,-0.807102075,0.419607677,0.554447015
CGW64_mgp05,192453.1904,167511.5295,119104.6149,146073.0915,126353.3261,131844.7578,nan,144998.081,-0.258627209,0.222756836,-1.161029282,0.245629992,0.382714886
CGW64_mgp06,204307.3129,168275.1113,112986.7917,148695.5136,149585.9002,154386.5717,nan,153934.3896,-0.113007647,0.249092819,-0.453676858,0.650061426,0.751141939
CGW64_mgp07,24919.56271,19150.56779,13014.64071,27844.56703,18430.17568,20086.42721,nan,20222.79338,0.204773077,0.302368337,0.677230554,0.498259685,0.626957302
CGW64_mgp08,209284.5092,150176.8155,132834.8434,202398.4168,146677.3129,141172.3336,nan,161054.6208,-0.018131313,0.253798942,-0.071439673,0.943047836,0.962385423
CGW64_mgp09,172664.3375,127223.2037,100464.9102,276755.134,133463.3279,136555.0492,nan,155019.7892,0.435833013,0.369306078,1.180140375,0.237944389,0.374621936
CGW64_mgp10,23485.17071,11489.71479,9510.071881,31149.47596,14584.53496,16014.7843,nan,17348.9888,0.466372383,0.442845144,1.053127463,0.292282578,0.430226377
CGW64_mgp11,260532.8408,180779.5449,158884.9584,233468.7422,191920.7888,178874.3002,nan,197423.296,-0.001116742,0.242766204,-0.004600072,0.996329687,0.997707503
CGW64_mgp12,597078.8632,554652.955,529652.7603,489550.6479,495349.8329,458790.4495,nan,513609.1675,-0.235430383,0.112369057,-2.095153149,0.036157381,0.11546469
CGW64_mgp13,127400.6347,96307.53101,77532.5843,136014.9977,86553.73608,99183.77449,nan,102089.2814,0.081765269,0.272819836,0.299704268,0.764402743,0.835495311
XM_038046466.1,1503.952818,1415.286262,1496.393823,1635.280284,1569.783317,1839.473192,nan,1553.434128,0.175225824,0.134067235,1.306999612,0.191212843,0.323458349
XM_038046467.1,131.9256858,211.2367556,206.5240869,485.357162,236.4527172,280.0546265,nan,254.5360643,0.837063324,0.385986357,2.168634487,0.030110445,0.104679356
XM_038046468.1,131.9256858,211.2367556,206.5240869,485.357162,236.4527172,280.0546265,nan,254.5360643,0.837063324,0.385986357,2.168634487,0.030110445,0.104679356
XM_038046469.1,131.9256858,211.2367556,206.5240869,485.357162,236.4527172,280.0546265,nan,254.5360643,0.837063324,0.385986357,2.168634487,0.030110445,0.104679356
XM_038046470.1,1473.969707,579.7275403,645.8406754,948.3132243,918.4436563,864.9657652,nan,887.7198466,0.014892748,0.382926519,0.038891921,0.968976558,0.979790719
XM_038046471.1,1466.773761,577.3804652,645.8406754,945.326411,908.5914598,864.9657652,nan,884.1198914,0.013815205,0.382172522,0.036149132,0.971163446,0.980518444
XM_038046472.1,2.398648832,0,4.529036994,11.94725322,8.757508046,5.167059529,nan,5.401458992,1.877226621,1.225988361,1.531194488,0.125721333,NA
XM_038046473.1,279.4425889,862.1589061,944.757117,2007.138541,1024.628441,1350.669361,nan,1062.81355,1.036791448,0.50540161,2.051420942,0.040225971,0.122333875
XM_038046474.1,279.4425889,862.1589061,944.757117,2007.138541,1024.628441,1350.669361,nan,1062.81355,1.036791448,0.50540161,2.051420942,0.040225971,0.122333875
XM_038046475.1,279.4425889,862.1589061,944.757117,2007.138541,1024.628441,1350.669361,nan,1062.81355,1.036791448,0.50540161,2.051420942,0.040225971,0.122333875
XM_038046476.1,175.1013647,110.3125279,171.1975984,76.16373927,118.2263586,158.1120216,nan,132.6855352,-0.385324557,0.381207488,-1.010800073,0.312112128,0.451001174
XM_038046477.1,368.1925957,424.8205862,478.2663066,406.2066095,332.7853057,272.8207431,nan,375.8309237,-0.349137395,0.249327757,-1.400314988,0.161419015,0.288579901
XM_038046478.1,57742.67333,52795.8888,43169.87482,32463.67381,32430.14698,33599.32129,nan,41459.27914,-0.656804255,0.158665702,-4.139547779,3.47991121141036e-05,0.001280861
XM_038046479.1,0,0,20.83357017,1.493406652,1.094688506,0,nan,3.837891781,-3.422896293,2.652016448,-1.290676872,0.196815748,NA
XM_038046480.1,87.55068236,838.6881554,935.699043,2053.434147,988.5037207,1040.645789,nan,977.9464225,1.091324934,0.745722421,1.463446589,0.143345218,0.266374088
XM_038046481.1,231.4696123,195.5895885,170.291791,128.4329721,185.0023575,190.1477907,nan,180.7182299,-0.259888941,0.271975058,-0.955561672,0.339293734,0.478600562
XM_038046482.1,901.8919608,1107.819429,1114.143101,845.2681653,1038.859392,920.7700081,nan,976.2868539,-0.174657465,0.200797332,-0.86981965,0.384398971,0.522111768
XM_038046483.1,508.5135524,512.4447218,435.6933588,188.1692382,384.2356655,276.9543908,nan,379.8183982,-0.792280613,0.320108804,-2.475035371,0.013322298,0.069843235
XM_038046484.1,723.1926228,3447.853266,3192.971081,9344.245424,4889.973555,5745.770197,nan,4489.832268,1.402517274,0.577239431,2.429697625,0.015111424,0.074316238
XM_038046485.1,723.1926228,3447.853266,3192.971081,9344.245424,4889.973555,5745.770197,nan,4489.832268,1.402517274,0.577239431,2.429697625,0.015111424,0.074316238
