Gene,Leg_VF1,Leg_VF2,Leg_VF3,Leg_Vm1,Leg_Vm2,Leg_Vm3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CGW64_mgp01,226612.5123,169526.7461,178977.6414,115338.7371,121283.6053,179795.8595,nan,164812.2915,-0.403567339,0.198235906,-2.035793348,0.041771111,0.177561572
CGW64_mgp02,292982.4907,219556.2002,214627.2519,211914.3087,243092.4546,310716.5303,nan,249140.3146,0.136710989,0.186877333,0.73155469,0.464440412,0.69183175
CGW64_mgp03,90872.30139,53852.10635,55601.69418,50593.72681,61247.76593,77982.6965,nan,64953.40468,-0.011317656,0.223274046,-0.050689526,0.959572923,0.984181127
CGW64_mgp04,5973.62661,7915.692585,8590.753173,7859.971354,8840.469769,16196.4062,nan,9299.959641,0.604112067,0.262055598,2.305282049,0.021150782,0.121916246
CGW64_mgp05,146073.0915,126353.3261,131844.7578,140866.0755,153386.0159,204697.5966,nan,151088.8591,0.363302609,0.171633509,2.116734732,0.034282367,0.159178583
CGW64_mgp06,148695.5136,149585.9002,154386.5717,135611.0075,140977.98,234642.9074,nan,161246.3091,0.23346586,0.21213719,1.100541869,0.271096098,0.513624385
CGW64_mgp07,27844.56703,18430.17568,20086.42721,13356.82964,17353.51473,50380.99978,nan,24663.96962,0.356769017,0.651910208,0.547267113,0.584195234,0.77667314
CGW64_mgp08,202398.4168,146677.3129,141172.3336,145785.2574,151017.8705,219193.8214,nan,167889.138,0.136500109,0.202099656,0.6754099,0.499415377,0.716821562
CGW64_mgp09,276755.134,133463.3279,136555.0492,114814.6596,156088.4075,211162.084,nan,170966.8926,-0.111017354,0.277312853,-0.400332524,0.688911616,0.840379816
CGW64_mgp10,31149.47596,14584.53496,16014.7843,13187.69553,18949.71066,22902.18083,nan,19406.85735,-0.094987158,0.271752685,-0.349535307,0.726687469,0.86544497
CGW64_mgp11,233468.7422,191920.7888,178874.3002,154498.0458,190655.5993,290858.3668,nan,207161.1566,0.135479724,0.22369028,0.605657627,0.544742127,0.749573287
CGW64_mgp12,489550.6479,495349.8329,458790.4495,473152.6475,605567.6316,667933.3572,nan,534030.891,0.332182502,0.165582826,2.006141036,0.044841203,0.183773381
CGW64_mgp13,136014.9977,86553.73608,99183.77449,84000.09392,83668.40692,120909.4844,nan,101572.8075,-0.092523154,0.204101674,-0.453318938,0.650319098,0.818561479
XM_038046466.1,1635.280284,1569.783317,1839.473192,1611.5383,1464.316495,1458.894165,nan,1596.877727,-0.097241359,0.147321728,-0.66006122,0.509214544,0.723211973
XM_038046467.1,485.357162,236.4527172,280.0546265,221.5418506,165.9861865,225.6482552,nan,267.025121,-0.638596615,0.298064539,-2.14247766,0.032155064,0.153957939
XM_038046468.1,485.357162,236.4527172,280.0546265,221.5418506,165.9861865,225.6482552,nan,267.025121,-0.638596615,0.298064539,-2.14247766,0.032155064,0.153957939
XM_038046469.1,485.357162,236.4527172,280.0546265,221.5418506,165.9861865,225.6482552,nan,267.025121,-0.638596615,0.298064539,-2.14247766,0.032155064,0.153957939
XM_038046470.1,948.3132243,918.4436563,864.9657652,1073.167782,1000.464686,857.9101979,nan,945.51959,0.157509374,0.163820875,0.961473158,0.336314316,0.579807787
XM_038046471.1,945.326411,908.5914598,864.9657652,1070.785611,995.917119,835.5687865,nan,938.7284487,0.150043111,0.166735681,0.899886037,0.368180902,0.609341897
XM_038046472.1,11.94725322,8.757508046,5.167059529,13.1019374,0,1.11707057,nan,6.600292642,-0.846064582,1.43377114,-0.590097372,0.555125371,NA
XM_038046473.1,2007.138541,1024.628441,1350.669361,1169.645684,868.5852499,967.3831138,nan,1223.434604,-0.479033316,0.233484316,-2.051672349,0.040201516,0.174111131
XM_038046474.1,2007.138541,1024.628441,1350.669361,1169.645684,868.5852499,967.3831138,nan,1223.434604,-0.479033316,0.233484316,-2.051672349,0.040201516,0.174111131
XM_038046475.1,2007.138541,1024.628441,1350.669361,1169.645684,868.5852499,967.3831138,nan,1223.434604,-0.479033316,0.233484316,-2.051672349,0.040201516,0.174111131
XM_038046476.1,76.16373927,118.2263586,158.1120216,109.5798401,87.54066001,121.7606921,nan,112.2879895,-0.086132286,0.364631622,-0.236217269,0.81326408,0.913761989
XM_038046477.1,406.2066095,332.7853057,272.8207431,343.0325428,329.6985896,298.2578422,nan,330.5303924,-0.001320786,0.22328871,-0.005915151,0.99528042,0.99812863
XM_038046478.1,32463.67381,32430.14698,33599.32129,27671.29179,34328.44453,76504.81214,nan,39761.40372,0.551762973,0.48437137,1.139132094,0.254648063,0.49598536
XM_038046479.1,1.493406652,1.094688506,0,0,0,0,nan,0.327912889,-1.803401807,4.037591958,-0.446652813,0.655125757,NA
