Gene,P_MF1,P_MF2,P_MF3,P_VF1,P_VF2,P_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CGW64_mgp01,89427.61487,113657.9895,120934.8305,106540.9607,104009.3648,105655.1303,nan,106694.6198,-0.049907333,0.105537292,-0.472888136,0.636292989,0.830582189
CGW64_mgp02,203119.7755,215320.1279,197522.0689,170575.9385,162904.157,176195.3338,nan,187678.3313,-0.288300921,0.056273904,-5.123172555,3.00437168200111e-07,5.72642436886188e-06
CGW64_mgp03,49725.18361,53982.02281,53547.68464,45115.73064,45579.46917,46989.76199,nan,49163.9527,-0.20683863,0.048885348,-4.231096609,2.32554755176771e-05,0.000299913
CGW64_mgp04,14191.87192,15397.12232,15722.26776,13520.26016,12364.28686,13266.80792,nan,14081.56177,-0.225413303,0.065637608,-3.434209574,0.000594285,0.00521316
CGW64_mgp05,165261.7412,190117.3459,185898.6544,161169.735,153282.678,184785.1925,nan,173406.095,-0.132002464,0.086422733,-1.527404425,0.126660477,0.330112278
CGW64_mgp06,109581.7326,139587.8348,133921.8635,134049.4407,119355.0356,121600.6801,nan,126368.0359,-0.044993131,0.100560668,-0.447422754,0.65456985,0.841039448
CGW64_mgp07,20843.57403,21166.54233,20899.4859,22679.30692,20065.7187,21082.10647,nan,21123.83767,0.006516394,0.063440776,0.102716171,0.918188239,0.966475902
CGW64_mgp08,120113.1445,117393.0173,117074.5772,104871.4058,92431.07174,101359.5434,nan,108924.1877,-0.262110271,0.063338872,-4.138221317,3.5000866868107e-05,0.000430667
CGW64_mgp09,133208.0927,145661.929,142252.1995,139962.6848,144397.3532,143354.7734,nan,141440.4758,0.007308231,0.048340976,0.151180867,0.879833043,0.950336369
CGW64_mgp10,28547.00063,30966.66251,30239.53932,28681.58446,30246.87106,28447.66043,nan,29519.10448,-0.053758509,0.052488588,-1.024194234,0.305743542,0.572502011
CGW64_mgp11,159547.079,168826.8566,166358.1216,152856.1496,134172.8977,160716.6241,nan,157105.0323,-0.158805288,0.076041782,-2.088395123,0.036762207,0.140671575
CGW64_mgp12,358509.8781,380047.7326,347192.8594,297496.2946,277157.5863,300236.7331,nan,326937.8328,-0.326405498,0.059719224,-5.465668741,4.61164852410153e-08,9.89425219314833e-07
CGW64_mgp13,79311.76568,98646.55696,89916.17582,91604.71287,88431.65429,90215.87188,nan,89679.95112,-0.002066599,0.083319141,-0.024803411,0.98021177,0.991233527
XM_038046466.1,1440.302636,1337.10394,1366.950876,1343.336354,1407.762259,1394.602745,nan,1381.36692,-0.014483534,0.067506419,-0.214550469,0.830117815,0.926993347
XM_038046467.1,70.83455588,56.78017767,64.64857874,193.7367382,58.00993639,61.80700521,nan,84.67989776,0.694989689,0.489194012,1.420683149,0.155408894,0.3754208
XM_038046468.1,70.83455588,56.78017767,64.64857874,193.7367382,58.00993639,61.80700521,nan,84.67989776,0.694989689,0.489194012,1.420683149,0.155408894,0.3754208
XM_038046469.1,70.83455588,56.78017767,64.64857874,193.7367382,58.00993639,61.80700521,nan,84.67989776,0.694989689,0.489194012,1.420683149,0.155408894,0.3754208
XM_038046470.1,103.2160671,101.7888551,97.9725884,395.308418,276.9770202,294.5695567,nan,211.3057403,1.661093231,0.205108372,8.09861254,5.55895243422094e-16,2.48871832446221e-14
XM_038046471.1,99.84299305,99.71153151,94.64018743,383.9121393,272.8918134,286.0217794,nan,205.9784844,1.663401497,0.20491811,8.117396259,4.76291640156645e-16,2.1413910343858e-14
XM_038046472.1,1.349229636,4.154647146,0,1.42453484,2.451124073,1.315042664,nan,1.500998258,-0.339633122,1.788957002,-0.189849796,0.849426834,NA
XM_038046473.1,358.8950831,318.5229479,321.9099333,312.6853973,349.693701,358.3491259,nan,336.6841307,0.014394322,0.125429768,0.114760018,0.908635341,0.963753319
XM_038046474.1,358.8950831,318.5229479,321.9099333,312.6853973,349.693701,358.3491259,nan,336.6841307,0.014394322,0.125429768,0.114760018,0.908635341,0.963753319
XM_038046475.1,358.8950831,318.5229479,321.9099333,312.6853973,349.693701,358.3491259,nan,336.6841307,0.014394322,0.125429768,0.114760018,0.908635341,0.963753319
XM_038046476.1,295.4812902,271.4369469,301.9155275,263.5389454,264.7213998,280.1040874,nan,279.4838599,-0.11664216,0.127636631,-0.913861157,0.360789806,0.626713832
XM_038046477.1,411.5150389,367.6862725,448.54117,518.5306817,464.8965324,491.8259563,nan,450.6199347,0.249781488,0.123691281,2.019394458,0.043446237,0.158596365
XM_038046478.1,1511.811807,1051.818169,1551.56589,1454.450071,1594.86473,1680.624525,nan,1473.052487,0.185157933,0.148990613,1.242748985,0.213960347,0.455628526
XM_038046479.1,1.349229636,2.077323573,1.99944058,0.71226742,3.26816543,0.657521332,nan,1.66462518,-0.016673949,1.498444712,-0.011127504,0.99112172,NA
XM_038046480.1,93.77145969,103.1737375,108.6362715,83.33528813,119.2880382,95.34059314,nan,100.4445241,-0.058978281,0.231168861,-0.255130733,0.798622128,0.913598519
XM_038046481.1,386.5542907,400.2310084,411.8847594,301.2891186,419.9592578,376.7597232,nan,382.6606434,-0.143217671,0.147378008,-0.97177098,0.331164496,0.601621817
XM_038046482.1,730.6078478,729.8330154,815.1052763,906.0041581,814.5902335,830.4494423,nan,804.3086538,0.150214615,0.097899853,1.534370189,0.124938607,0.326891835
XM_038046483.1,165.2806304,148.8748561,143.9597217,131.7694727,140.5311135,124.2715318,nan,142.5423104,-0.221196691,0.178362206,-1.240154491,0.214918257,0.457030429
XM_038046484.1,279.2905346,257.5881231,211.9407014,437.3321958,389.7287275,361.6367326,nan,322.7436086,0.652454358,0.160806034,4.057399723,4.96221117678437e-05,0.000590004
XM_038046485.1,279.2905346,257.5881231,211.9407014,437.3321958,389.7287275,361.6367326,nan,322.7436086,0.652454358,0.160806034,4.057399723,4.96221117678437e-05,0.000590004
