Gene,P_VF1,P_VF2,P_VF3,P_Vm1,P_Vm2,P_Vm3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CGW64_mgp01,106540.9607,104009.3648,105655.1303,112875.2037,104249.3561,117550.6834,nan,108426.0154,0.103314259,0.065378343,1.580252011,0.114049165,0.24942067
CGW64_mgp02,170575.9385,162904.157,176195.3338,168392.3583,163688.1339,163860.917,nan,167462.2204,-0.017677436,0.055131423,-0.320641759,0.748481888,0.86240944
CGW64_mgp03,45115.73064,45579.46917,46989.76199,42292.02761,42494.20989,43167.99307,nan,44224.04371,-0.084099691,0.042233193,-1.991317356,0.046446009,0.124624191
CGW64_mgp04,13520.26016,12364.28686,13266.80792,15793.23069,14765.96037,15094.47109,nan,14133.83549,0.243178466,0.067833393,3.584937374,0.000337159,0.001906139
CGW64_mgp05,161169.735,153282.678,184785.1925,165331.358,165562.8158,170639.635,nan,166629.9251,0.028721012,0.078614311,0.365340756,0.714857059,0.84092689
CGW64_mgp06,134049.4407,119355.0356,121600.6801,121980.7228,116921.9216,121897.6269,nan,122558.066,-0.034817466,0.072467205,-0.480458235,0.630901594,0.78390263
CGW64_mgp07,22679.30692,20065.7187,21082.10647,16036.87847,18947.06908,19308.26882,nan,19659.39235,-0.213225081,0.092358171,-2.308675875,0.020961574,0.066086418
CGW64_mgp08,104871.4058,92431.07174,101359.5434,86357.7364,86806.29313,91475.41334,nan,93778.34268,-0.153499215,0.07102796,-2.161109716,0.030686865,0.089766251
CGW64_mgp09,139962.6848,144397.3532,143354.7734,113049.7712,130259.1472,134701.9906,nan,134089.1874,-0.157269891,0.075429432,-2.084993722,0.03706987,0.10458746
CGW64_mgp10,28681.58446,30246.87106,28447.66043,23539.54989,28617.30321,30482.92806,nan,28299.82992,-0.059902725,0.098402335,-0.608753086,0.542688114,0.720399117
CGW64_mgp11,152856.1496,134172.8977,160716.6241,113827.3904,120823.2483,127133.9843,nan,134691.8082,-0.286321134,0.08468784,-3.380900174,0.000722488,0.003751924
CGW64_mgp12,297496.2946,277157.5863,300236.7331,283100.0547,263219.5405,263406.0299,nan,280515.3749,-0.089893695,0.066676143,-1.348213787,0.177589631,0.344523844
CGW64_mgp13,91604.71287,88431.65429,90215.87188,77485.59641,83328.19012,88125.46545,nan,86432.30616,-0.097622862,0.064361577,-1.516787924,0.129320237,0.274140323
XM_038046466.1,1343.336354,1407.762259,1394.602745,1733.53998,1486.963596,1493.363098,nan,1476.537326,0.207555549,0.094591698,2.194225856,0.028219177,0.084120022
XM_038046467.1,193.7367382,58.00993639,61.80700521,150.2961426,132.0798609,122.49412,nan,120.0219324,0.378212342,0.445498216,0.848964886,0.395900831,0.59605855
XM_038046468.1,193.7367382,58.00993639,61.80700521,150.2961426,132.0798609,122.49412,nan,120.0219324,0.378212342,0.445498216,0.848964886,0.395900831,0.59605855
XM_038046469.1,193.7367382,58.00993639,61.80700521,150.2961426,132.0798609,122.49412,nan,120.0219324,0.378212342,0.445498216,0.848964886,0.395900831,0.59605855
XM_038046470.1,395.308418,276.9770202,294.5695567,677.7329164,522.6385896,476.1293187,nan,441.7338665,0.815297809,0.199008114,4.096806876,4.19E-05,0.000294533
XM_038046471.1,383.9121393,272.8918134,286.0217794,668.3977522,507.0162404,470.8034874,nan,432.5572771,0.824664136,0.198782388,4.148577478,3.35E-05,0.000240888
XM_038046472.1,1.42453484,2.451124073,1.315042664,1.867032828,0,2.130332522,nan,1.333060946,0.023593378,1.773335213,0.013304523,0.98938484,NA
XM_038046473.1,312.6853973,349.693701,358.3491259,284.7225062,258.4788677,298.2465531,nan,309.7876023,-0.257656525,0.133953319,-1.923479957,0.054419801,0.141855426
XM_038046474.1,312.6853973,349.693701,358.3491259,284.7225062,258.4788677,298.2465531,nan,309.7876023,-0.257656525,0.133953319,-1.923479957,0.054419801,0.141855426
XM_038046475.1,312.6853973,349.693701,358.3491259,284.7225062,258.4788677,298.2465531,nan,309.7876023,-0.257656525,0.133953319,-1.923479957,0.054419801,0.141855426
XM_038046476.1,263.5389454,264.7213998,280.1040874,289.3900883,274.1012168,281.2038929,nan,275.3274331,0.082950919,0.12910761,0.642494421,0.520552211,0.702893494
XM_038046477.1,518.5306817,464.8965324,491.8259563,489.1626008,474.3513286,517.6708029,nan,492.5278331,0.025974063,0.110383436,0.235307615,0.813969985,0.898843769
XM_038046478.1,1454.450071,1594.86473,1680.624525,3274.775579,7109.589074,6611.486983,nan,3627.748545,1.864935133,0.335430666,5.559823011,2.70E-08,3.49E-07
XM_038046479.1,0.71226742,3.26816543,0.657521332,0,1.420213559,4.260665045,nan,1.660242386,0.01689042,1.736077483,0.00972907,0.992237448,NA
XM_038046480.1,83.33528813,119.2880382,95.34059314,88.68405931,76.69153216,94.79979724,nan,92.85220833,-0.164104431,0.2441426,-0.672166309,0.501477827,0.686875227
XM_038046481.1,301.2891186,419.9592578,376.7597232,383.6752461,406.1810777,452.695661,nan,389.796365,0.201210308,0.155188797,1.296551762,0.194785459,0.36698725
XM_038046482.1,906.0041581,814.5902335,830.4494423,640.3922598,718.6280606,662.5334144,nan,761.0610095,-0.314507614,0.10189824,-3.086487202,0.002025367,0.009412829
